Language,LevelOfQuestion,Question,Option A,Option B,Option C,Option D,Correct Answer
C_PLUS_PLUS,1,Which of the following is not a C++ access specifier?,public,protected,private,internal,D
C_PLUS_PLUS,1,What is the output of the following code? cout << (5 > 3 && 2 < 4);,0,1,true,false,C
C_PLUS_PLUS,1,What is the purpose of the 'cin' object in C++?,To read input from the user,To display output on the console,To perform mathematical operations,To handle exceptions,A
C_PLUS_PLUS,1,What is the output of the following code? int x = 5; int y = 2; cout << (x % y);,1,2,2.5,Compilation error,A
C_PLUS_PLUS,1,What is the purpose of the 'static' keyword in C++?,It indicates that a variable or function belongs to the class,It specifies the access level of a variable or function,It indicates that a class cannot be inherited,It indicates that a class can be instantiated,A
C_PLUS_PLUS,2,What is the output of the following code? int x = 2; int y = 3; cout << (x > y ? x : y);,2,3,Compilation error,Runtime error,B
C_PLUS_PLUS,2,Which of the following is true about C++ references?,References are aliases for variables,References can be null,References can be reassigned to other variables,References can be used with arrays,A
C_PLUS_PLUS,2,What is the purpose of the 'virtual' keyword in C++?,To enable polymorphism,To define a constant variable,To define a static member variable,To indicate that a class cannot be subclassed,A
C_PLUS_PLUS,2,What is the output of the following code? int x = 5; cout << (x > 2 && x < 10);,0,1,true,false,C
C_PLUS_PLUS,2,What is the purpose of the 'operator' keyword in C++?,To overload an operator,To define a user-defined conversion function,To define a conversion operator,To access the address of a variable,C
C_PLUS_PLUS,3,Which of the following is true about C++ exceptions?,Exceptions allow handling of runtime errors,Exceptions are limited to compile-time errors,Exceptions are not supported in C++,Exceptions are only used for debugging purposes,A
C_PLUS_PLUS,3,What is the purpose of the 'try-catch' block in C++?,To handle exceptions,To define a loop,To define a switch statement,To specify the superclass,A
C_PLUS_PLUS,3,What is the output of the following code? int arr[] = {1, 2, 3}; cout << arr[3];,1,2,3,Runtime error,D
C_PLUS_PLUS,3,What is the purpose of the 'friend' keyword in C++?,To grant access to private members of a class,To declare a function as a friend,To define a friend class,To declare a function as a member of a class,A
C_PLUS_PLUS,3,What is the output of the following code? string s = "Hello"; cout << s.substr(1, 3);,ell,Hell,lo,Compilation error,A
C_PLUS_PLUS,3,Which of the following is not a C++ standard library algorithm?,sort,reverse,search,print,D
