Language,LevelOfQuestion,Question,Option A,Option B,Option C,Option D,Correct Answer
JAVASCRIPT,1,What is JavaScript?,A programming language,A database management system,A server-side framework,A JavaScript library for building user interfaces,A
JAVASCRIPT,1,What is the purpose of the 'typeof' operator in JavaScript?,To determine the type of a value,To define a loop,To handle exceptions,To define a function,A
JAVASCRIPT,1,What is the output of the following code? console.log(2 + '2');,22,4,ConcatenationError,TypeError,A
JAVASCRIPT,1,What is the purpose of the 'if' statement in JavaScript?,To execute code conditionally,To define a loop,To handle exceptions,To define a function,A
JAVASCRIPT,1,What is the purpose of the 'length' property in JavaScript arrays?,To get the number of elements in an array,To access the value of a key in an object,To convert a value to lowercase,To generate a random number,A
JAVASCRIPT,1,Which of the following is an example of a JavaScript built-in object?,Math,Date,Array,All of the above,D
JAVASCRIPT,1,What does the 'not' operator do in JavaScript?,It negates a boolean value,It performs bitwise negation,It checks if a value is empty,It concatenates strings,A
JAVASCRIPT,1,What is the output of the following code? console.log(5 / 2);,2.5,2,2.0,Error,A
JAVASCRIPT,1,What is the purpose of the 'else' statement in JavaScript?,To specify an alternative condition after an 'if' statement,To define a loop,To handle exceptions,To define a function,A
JAVASCRIPT,1,What is the output of the following code? console.log(5 % 2);,1,2,2.5,Error,A
JAVASCRIPT,2,What is the purpose of the 'try-catch' statement in JavaScript?,To handle exceptions,To define a loop,To define a class,To specify the superclass,A
JAVASCRIPT,2,What is the output of the following code? const numbers = [1, 2, 3]; const sum = numbers.reduce((total, num) => total + num, 0); console.log(sum);,6,[1, 2, 3],Error,None,A
JAVASCRIPT,2,What is the purpose of the 'continue' statement in JavaScript?,To skip the current iteration of a loop and continue to the next one,To exit a loop,To handle exceptions,To define a function,A
JAVASCRIPT,2,What is the output of the following code? console.log(5 / 2);,2.5,2,2.0,Error,A
JAVASCRIPT,2,What is the purpose of the 'finally' block in JavaScript?,To specify code that will be executed regardless of whether an exception occurs or not,To define a loop,To define a class,To handle exceptions,A
JAVASCRIPT,2,What is the output of the following code? console.log(5 // 2);,2,2.5,2.0,Error,A
JAVASCRIPT,2,What is the purpose of the 'pass' statement in JavaScript?,To define a placeholder for future code,To exit a loop,To handle exceptions,To define a function,A
JAVASCRIPT,2,What is the output of the following code? const name = 'John'; console.log(name.slice(1, 3));,oh,n,ohn,Error,A
JAVASCRIPT,3,What is the purpose of the 'with' statement in JavaScript?,To associate a block of code with a particular object,To define a loop,To define a class,To handle exceptions,A
JAVASCRIPT,3,What is the output of the following code? const numbers = [1, 2, 3]; const cloned = [...numbers]; cloned.push(4); console.log(numbers);,[1, 2, 3],[1, 2, 3, 4],Error,None,A
JAVASCRIPT,3,What is the purpose of the 'eval' function in JavaScript?,To evaluate a string as JavaScript code,To define a loop,To handle exceptions,To define a class,A
JAVASCRIPT,3,What is the output of the following code? const name = 'John'; console.log(name.toUpperCase());,JOHN,John,john,Error,A
JAVASCRIPT,3,What is the purpose of the 'assert' function in JavaScript?,To check if a condition is true and throw an error if it's false,To define a loop,To handle exceptions,To define a class,A
JAVASCRIPT,3,What is the output of the following code? const x = true; const y = false; console.log(x && y);,false,true,Error,None,A
