Language,LevelOfQuestion,Question,Option A,Option B,Option C,Option D,Correct Answer
PYTHON,1,Which of the following is not a Python data type?,Integer,String,List,Float,D
PYTHON,1,What is the purpose of the 'range' function in Python?,To generate a sequence of numbers,To sort a list,To concatenate strings,To calculate the length of an object,A
PYTHON,1,What is the output of the following code? print(2 + '2');,22,4,ConcatenationError,TypeError,A
PYTHON,1,What is the purpose of the 'if' statement in Python?,To execute code conditionally,To define a loop,To handle exceptions,To define a function,A
PYTHON,1,What is the purpose of the 'len' function in Python?,To calculate the length of an object,To access the value of a key in a dictionary,To convert a value to lowercase,To generate a random number,A
PYTHON,1,Which of the following is an example of a Python built-in function?,print,sum,append,sort,B
PYTHON,1,What does the 'not' operator do in Python?,It negates a boolean value,It performs bitwise negation,It checks if a value is empty,It concatenates strings,B
PYTHON,1,What is the output of the following code? numbers = [1, 2, 3]; print(numbers[2]);,3,1,2,Error,A
PYTHON,1,What is the purpose of the 'elif' statement in Python?,To specify an alternative condition after an 'if' statement,To define a loop,To handle exceptions,To define a function,A
PYTHON,1,What is the output of the following code? x = 5; y = 2; print(x % y);,1,2,2.5,Error,A
PYTHON,2,What is the purpose of the 'try-except' block in Python?,To handle exceptions,To define a loop,To define a class,To specify the superclass,A
PYTHON,2,What is the output of the following code? numbers = [1, 2, 3]; total = sum(numbers); print(total);,6,[1, 2, 3],Error,None,A
PYTHON,2,What is the purpose of the 'continue' statement in Python?,To skip the current iteration of a loop and continue to the next one,To exit a loop,To handle exceptions,To define a function,A
PYTHON,2,What is the output of the following code? x = 5; y = 2; print(x / y);,2.5,2,2.0,Error,A
PYTHON,2,What is the purpose of the 'finally' block in Python?,To specify code that will be executed regardless of whether an exception occurs or not,To define a loop,To define a class,To handle exceptions,A
PYTHON,2,What is the output of the following code? x = 5; y = 2; print(x // y);,2,2.5,2.0,Error,A
PYTHON,2,What is the purpose of the 'pass' statement in Python?,To define a placeholder for future code,To exit a loop,To handle exceptions,To define a function,A
PYTHON,2,What is the output of the following code? name = 'John'; print(name[1:3]);,oh,n,ohn,Error,A
PYTHON,3,What is the purpose of the 'with' statement in Python?,To ensure that a resource is properly managed and released,To define a loop,To define a class,To handle exceptions,A
PYTHON,3,What is the output of the following code? x = [1, 2, 3]; y = x; y.append(4); print(x);,[1, 2, 3, 4],[1, 2, 3],Error,None,A
PYTHON,3,What is the purpose of the 'lambda' function in Python?,To define an anonymous function,To define a loop,To handle exceptions,To define a class,A
PYTHON,3,What is the output of the following code? x = [1, 2, 3]; y = x; y[0] = 4; print(x);,[4, 2, 3],[1, 2, 3],Error,None,A
PYTHON,3,What is the purpose of the 'assert' statement in Python?,To check if a condition is true and raise an exception if it's false,To define a loop,To handle exceptions,To define a class,A
PYTHON,3,What is the output of the following code? x = True; y = False; print(x and y);,False,True,Error,None,A
