Language,LevelOfQuestion,Question,Option A,Option B,Option C,Option D,Correct Answer
SQL,1,Which statement is used to insert new data into a database?,INSERT,SELECT,UPDATE,DELETE,C
SQL,1,What is the purpose of the 'GROUP BY' clause in SQL?,To group rows based on a specified column,To sort rows in ascending order,To filter rows based on a condition,To join tables,B
SQL,1,What is the output of the following SQL query? SELECT COUNT(*) FROM customers;,The total number of rows in the customers table,The average value in the customers table,The sum of values in the customers table,The highest value in the customers table,A
SQL,1,What is the purpose of the 'ORDER BY' clause in SQL?,To sort rows in ascending or descending order,To filter rows based on a condition,To join tables,To group rows based on a specified column,A
SQL,1,Which statement is used to delete data from a database?,DELETE,SELECT,UPDATE,INSERT,A
SQL,1,What is the output of the following SQL query? SELECT DISTINCT city FROM customers;,A list of unique cities from the customers table,A list of all cities from the customers table,An error message,The city column from the customers table without duplicates,A
SQL,1,What is the purpose of the 'WHERE' clause in SQL?,To filter rows based on a condition,To sort rows in ascending or descending order,To join tables,To group rows based on a specified column,A
SQL,1,What is the output of the following SQL query? SELECT MAX(price) FROM products;,The highest price in the products table,The average price in the products table,The sum of prices in the products table,The total number of rows in the products table,A
SQL,1,What is the purpose of the 'HAVING' clause in SQL?,To filter rows after grouping,To filter rows before grouping,To sort rows in ascending or descending order,To join tables,A
SQL,1,Which statement is used to update data in a database?,UPDATE,SELECT,INSERT,DELETE,A
SQL,2,What is the output of the following SQL query? SELECT AVG(quantity) FROM orders WHERE year = 2022;,The average quantity of orders made in the year 2022,The total quantity of orders made in the year 2022,The highest quantity of orders made in the year 2022,An error message,A
SQL,2,What is the purpose of the 'INNER JOIN' clause in SQL?,To combine rows from two or more tables based on a related column,To filter rows based on a condition,To group rows based on a specified column,To sort rows in ascending or descending order,A
SQL,2,What is the output of the following SQL query? SELECT COUNT(DISTINCT category) FROM products;,The number of unique categories in the products table,The total number of categories in the products table,The average number of categories per product,An error message,A
SQL,2,What is the purpose of the 'LIKE' operator in SQL?,To perform pattern matching in search conditions,To join tables based on common columns,To filter rows based on a condition,To sort rows in ascending or descending order,A
SQL,2,Which statement is used to create a new table in a database?,CREATE TABLE,SELECT,INSERT,UPDATE,A
SQL,2,What is the output of the following SQL query? SELECT MIN(price) FROM products WHERE category = 'Electronics';,The lowest price among electronics products,The average price of electronics products,The sum of prices of electronics products,An error message,A
SQL,2,What is the purpose of the 'UNION' operator in SQL?,To combine the results of two or more SELECT statements,To filter rows based on a condition,To group rows based on a specified column,To sort rows in ascending or descending order,A
SQL,2,What is the output of the following SQL query? SELECT SUM(quantity) FROM orders GROUP BY year;,The sum of quantities for each year in the orders table,The average quantity in the orders table,The highest quantity in the orders table,An error message,A
SQL,3,What is the purpose of the 'LEFT JOIN' clause in SQL?,To combine rows from two or more tables based on a related column, including unmatched rows from the left table,To filter rows based on a condition,To group rows based on a specified column,To sort rows in ascending or descending order,A
SQL,3,What is the output of the following SQL query? SELECT CONCAT(first_name, ' ', last_name) FROM employees;,The full names of all employees,The first names of all employees,The last names of all employees,An error message,A
SQL,3,What is the purpose of the 'DISTINCT' keyword in SQL?,To retrieve unique values in a column,To sort rows in ascending or descending order,To join tables based on common columns,To filter rows based on a condition,A
SQL,3,What is the output of the following SQL query? SELECT COUNT(*) FROM customers WHERE country = 'USA';,The number of customers from the USA,The average value in the customers table,The sum of values in the customers table,The highest value in the customers table,A
SQL,3,What is the purpose of the 'BETWEEN' operator in SQL?,To retrieve values within a specified range,To join tables based on common columns,To filter rows based on a condition,To sort rows in ascending or descending order,A
SQL,3,What is the output of the following SQL query? SELECT MAX(quantity) FROM orders WHERE year = 2022 AND month = 'January';,The highest quantity of orders made in January 2022,The average quantity of orders made in January 2022,The sum of quantities of orders made in January 2022,An error message,A
SQL,3,What is the purpose of the 'AS' keyword in SQL?,To rename a column or table,To filter rows based on a condition,To join tables based on common columns,To sort rows in ascending or descending order,A
SQL,3,Which statement is used to delete a table in a database?,DROP TABLE,SELECT,INSERT,UPDATE,A
SQL,3,What is the output of the following SQL query? SELECT AVG(price) FROM products WHERE category IN ('Electronics', 'Appliances');,The average price of electronics and appliances products,The total price of electronics and appliances products,The sum of prices of electronics and appliances products,An error message,A
